,req1,req2,BinaryClass,MultiClass,BLabelled,MLabelled
819,external av port(s);the current concept design has two external av control ports these can be used for external lights or sirens basic binary on/off functionally linked to the transportable’s alarm levels,confined space connectivity;for the shutdown/turnaround market the transportable needs to be able to communicate in confined space this may need further field testing/verification and improvement in future iteration,0,0,A,A
3348,satellite and cellular communication options;we would like to have an option upgrade module which would when installed allow the transportable to also communicate with iridium satellites similar to the bridge,configurations settings;sound:;can we have the speaker say “high gas detected hydrogen sulfide leave the area”? if so we would toggle this on/off,0,0,A,A
1636,mounting;for anti-theft we won’t provide a special locking mechanism if the owners are worried about theft they can bolt it to something,satellite voice/ptt,0,0,A,A
3158,gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;the device will work independent of gas detection,configurations settings;pump;cycle time for each inlet between 1 minute and 60 minutes with the resolution of 1 minute,0,0,A,A
3694,configurations settings;calibration;calibration schedule setting (# days,configurations settings;low battery notification: no auditory local alarm on device just a visual indication of low battery level on the device lcd  we will want the same portal related notifications as g7 such as email and sms  the device technicians are generally in a trailer not in the immediate area so a local alarm for low battery is not helpful,0,0,A,A
1224,mounting;they are generally fixed to something while transported or during an extended hole watch its reasonable to expect them to be on the ground without a tripod the design should facilitate setting it down on the dirty ground,pump module; if multiple inlets are used for sampling we’ll need to set the sample interval since we can’t draw on more than one at a time,0,0,A,A
938,external av port(s);it would be possible to have these av ports configurable sending on/off information for different reasons;it would also be possible to have this ports communicate more complex information to some type of external hardware network,messages;like the g7 the transportable should be able to receive messages from the server and send pre-canned and custom messages the way the g7 does from the configuration profile we want the ability to toggle-off or disable the ability to send messages from the transportable (we would like this functionality for the g7 as well but that’s a separate consideration) messaging would be available over cellular and satellite,0,0,A,A
1225,mounting;they are generally fixed to something while transported or during an extended hole watch its reasonable to expect them to be on the ground without a tripod the design should facilitate setting it down on the dirty ground,pump module;[moved to future scope,0,0,A,A
1120,need a visual way to look at a transportable while in the field and see if it is connected to the network green suresafe connectivity light needs to be visible,"mounting;the transportable can be fixed to a survey tripod “typically threaded with a 5/8"" x 11 tpi screw thread” we’ll want to source our own tripod to sell as a kit",0,0,A,A
1258,mounting;they are generally fixed to something while transported or during an extended hole watch its reasonable to expect them to be on the ground without a tripod the design should facilitate setting it down on the dirty ground,voice calling: a call can be placed to the device without setting it into alarm the channel just opens and the person can talk;calls can be made from the device to a set list of phone numbers,0,0,A,A
2982,pump module;the inlets will need to be configurable over the air via the portal if they are used to sample calibrate zero or purge,configurations settings;language: same as g7 config,0,0,A,A
1328,mounting;must be able to be carried with one hand,configurations settings;connection lost notification: no alarm on device just portal/email/sms,0,0,A,A
1994,calibration and bump test;bump and cals need to be manually initiated from the device,software requirements;the info bar on the maps should show the pump inlet configuration and if a satellite module is connected,0,0,A,A
3564,configurations settings;pump;cycle time for each inlet between 1 minute and 60 minutes with the resolution of 1 minute,battery usage and tracking schedules;updated gas information does not need to continuously be transmitted,0,0,A,A
1974,calibration and bump test;bump and cals need to be manually initiated from the device,configurations settings;sos latch pull: enable/disable toggle,0,0,A,A
2230,calibration and bump test;to perform a calibration on certain cartridge configurations the transportable may need to be connected to two or three cylinders multi gas voc and purge this will need to be configured so the transportable knows which inlet to draw from,configurations settings;bump;automatic bump test on schedule toggle,0,0,A,A
645,battery and run time;the transportable battery pack will have its own independent charge level indicator,bluetooth;related to the bluetooth regulator project the transportable should have the ability to receive cylinder pressure information,0,0,A,A
3223,gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;ability to use a speaker for communicating with the user,configurations settings;gas settings: same as g7 config,0,0,A,A
3833,configurations settings;bump;bump test schedule setting (# days,battery usage and tracking schedules;perhaps the device collects it’s logs for a period of time while there is no cell connection periodically it connects and dumps the logs (cellular only) if there is an alert it will quickly try to establish cell connection and report the high gas,0,0,A,A
3329,satellite and cellular communication options;all transportables should communicate with cellular networks like the g7c this would be the standard offering,software requirements;notification profile pages won’t need to change fundamentally we’ll need to add toggle settings for motion alert and a pump blocked (specify inlet,0,0,A,A
916,external av port(s);it would be possible to have these av ports configurable sending on/off information for different reasons;it would also be possible to have this ports communicate more complex information to some type of external hardware network,configurations settings;pump;toggle on/off which inlet(s) to draw from,0,0,A,A
1984,calibration and bump test;bump and cals need to be manually initiated from the device,push-to-talk: the transportable should be capable of ptt;ptt can be toggled on/off from the server,0,0,A,A
2306,bluetooth;the transportable will need to work with our existing location beacon products,messages;like the g7 the transportable should be able to receive messages from the server and send pre-canned and custom messages the way the g7 does from the configuration profile we want the ability to toggle-off or disable the ability to send messages from the transportable (we would like this functionality for the g7 as well but that’s a separate consideration) messaging would be available over cellular and satellite,0,0,A,A
3403,satellite and cellular communication options;the satellite communication module should be relatively easy for a field technician to install that way we can easily sell the cellular version to customers and tell them that if that’s not good enough they can always upgrade without shipping back their device,satellite voice/ptt,0,0,A,A
3541,configurations settings;pump;cycle time for each inlet between 1 minute and 60 minutes with the resolution of 1 minute,configurations settings;calibration;specify which inlets to use for gas and purge we will need a check here if the pump is set to sample from an inlet as well,0,0,A,A
1872,need to be able to easily perform bump tests and calibrations at the deployment site without dismantling the transportable;when on site at cp chem the total safety arearae techs would do a daily calibration of each arearae they would walk around with a cylinder connected to a demand flow regulator and cal the devices one at at time they had 22 deployed on the site at the time and would go up to around 40 by the peak of the turn around they would calibration half for the day shift and half at night,movement detection;setting or enabling movement detection should be initiated from the transportable’s lcd menu;and also remotely from the portal,0,0,A,A
2951,pump module;this means that gas alerts need to be accompanied by inlet information for example h2s high gas alert 32 ppm from inlet one,team alerting requirements (sympathetic alerts,0,0,A,A
3037,pump module; if multiple inlets are used for sampling we’ll need to set the sample interval since we can’t draw on more than one at a time,push-to-talk: the transportable should be capable of ptt;ptt can be toggled on/off from the server,0,0,A,A
1462,mounting;the transportable can be hooked to a solar panel in a hazardous zone we’ll want to source our own so that it can be sold with the kit,configurations settings;pump;toggle on/off which inlet(s) to draw from,0,0,A,A
3503,configurations settings;pump;maximum hose length: 100 feet minimum 0 feet sample time as a configuration with seconds granularity,configurations settings;calibration;specify which inlets to use for gas and purge we will need a check here if the pump is set to sample from an inlet as well,0,0,A,A
2715,movement detection;if motion detection auto-reset is disabled the user can still choose to set a one time motion detection this should be initiated from the portal once triggered it would need to be reset each time in the portal this set/reset feature could be in the info-bar,configurations settings;low battery notification: no auditory local alarm on device just a visual indication of low battery level on the device lcd  we will want the same portal related notifications as g7 such as email and sms  the device technicians are generally in a trailer not in the immediate area so a local alarm for low battery is not helpful,0,0,A,A
2206,calibration and bump test;to perform a calibration on certain cartridge configurations the transportable may need to be connected to two or three cylinders multi gas voc and purge this will need to be configured so the transportable knows which inlet to draw from,confined space connectivity;for the shutdown/turnaround market the transportable needs to be able to communicate in confined space this may need further field testing/verification and improvement in future iteration,0,0,A,A
760,the transportable will need its own bright lights and sound for alarms the lights and sound should work 360 deg,configurations settings;bump;automatic bump test on schedule toggle,0,0,A,A
2329,bluetooth;related to the bluetooth regulator project the transportable should have the ability to receive cylinder pressure information,movement detection;phil b 1/8/19 requirement changed: we will auto reset in the same way the tracking products did barry will define the details;set as part of the transportable configuration profile “movement detection auto-reset” should be an option when toggled on the transportable would always throw a notification when it is moved obviously it would need a buffer between notifications of around 15-30 minutes also it should not throw an notification for the first 30 minutes after it has been powered on the device would need to be powered down while moving it to avoid notifications,0,0,A,A
3651,configurations settings;calibration;automatic calibration on schedule toggle,configurations settings;bump;automatic bump test on schedule toggle,0,0,A,A
2188,calibration and bump test;we would have to have a way to inform any users that a bump or cal is occurring and they are not being monitored the indicator has to be local at the device (for example: sound/yellow blue light) and this will reflect on the portal at the beginning and the end of bump/cal (mode change,battery usage and tracking schedules;perhaps the device collects it’s logs for a period of time while there is no cell connection periodically it connects and dumps the logs (cellular only) if there is an alert it will quickly try to establish cell connection and report the high gas,0,0,A,A
2658,movement detection;phil b 1/8/19 requirement changed: we will auto reset in the same way the tracking products did barry will define the details;set as part of the transportable configuration profile “movement detection auto-reset” should be an option when toggled on the transportable would always throw a notification when it is moved obviously it would need a buffer between notifications of around 15-30 minutes also it should not throw an notification for the first 30 minutes after it has been powered on the device would need to be powered down while moving it to avoid notifications,configurations settings;connection lost notification: no alarm on device just portal/email/sms,0,0,A,A
15,battery and run time;60 days run-time without pump,"mounting;the transportable can be fixed to a survey tripod “typically threaded with a 5/8"" x 11 tpi screw thread” we’ll want to source our own tripod to sell as a kit",0,0,A,A
2139,calibration and bump test;we would have to have a way to inform any users that a bump or cal is occurring and they are not being monitored the indicator has to be local at the device (for example: sound/yellow blue light) and this will reflect on the portal at the beginning and the end of bump/cal (mode change,movement detection;setting or enabling movement detection should be initiated from the transportable’s lcd menu;once triggered motion detection would need to be reset,0,0,A,A
886,external av port(s);it would be possible to have these av ports configurable sending on/off information for different reasons;it would also be possible to have this ports communicate more complex information to some type of external hardware network,gas sensor cartridges;the transportable will need to support all gas combinations available with the four sensor cartridge this could be one to five gases,0,0,A,A
3571,configurations settings;pump;cycle time for each inlet between 1 minute and 60 minutes with the resolution of 1 minute,software requirements;alert profile and notification profile pages won’t need to change fundamentally we’ll need to add toggle settings for motion alert and a pump blocked (specify inlet,0,0,A,A
381,battery and run time;while fast charging each transportable battery pack will require its own outlet gang charging from a single outlet is not a requirement,calibration and bump test;bump and cals need to be manually initiated from the device,0,0,A,A
640,battery and run time;the transportable battery pack will have its own independent charge level indicator,calibration and bump test;we would like the ability to remotely initiate bump and cals this would of course require the transportable to have the pump module connected to a cylinder,0,0,A,A
1568,mounting;versatility of mounting is important mounting inserts in the plastic ability to use zip-ties or heavy duty magnets ability to bolt it to a surface,software requirements;the transportable will appear on the maps pages with a new icon g7 is a person bridge is a network icon not sure what the transportable should be,0,0,A,A
818,external av port(s);the current concept design has two external av control ports these can be used for external lights or sirens basic binary on/off functionally linked to the transportable’s alarm levels,movement detection;if motion detection auto-reset is disabled the user can still choose to set a one time motion detection this should be initiated from the portal once triggered it would need to be reset each time in the portal this set/reset feature could be in the info-bar,0,0,A,A
878,external av port(s);it would be possible to have these av ports configurable sending on/off information for different reasons;it would also be possible to have this ports communicate more complex information to some type of external hardware network,mounting;they are generally fixed to something while transported or during an extended hole watch its reasonable to expect them to be on the ground without a tripod the design should facilitate setting it down on the dirty ground,0,0,A,A
3690,configurations settings;calibration;calibration schedule setting (# days,configurations settings;sound:;can we have the speaker say “high gas detected hydrogen sulfide leave the area”? if so we would toggle this on/off,0,0,A,A
665,battery and run time;the transportable battery pack will have its own independent charge level indicator,satellite and cellular communication options;the satellite communication module should be relatively easy for a field technician to install that way we can easily sell the cellular version to customers and tell them that if that’s not good enough they can always upgrade without shipping back their device,0,0,A,A
3090,pump module;[moved to future scope,battery usage and tracking schedules;updated gps locations can be less frequent perhaps only on motion,0,0,A,A
1665,"the industrial design needs to be rugged tough bulletproof in both visual perception and application it needs to be a heavy duty piece of equipment not a delicate instrument 
the ground around plants and at field sites is uneven and there is random puddles of liquid everywhere for this reason we may want to have small standoff legs to raise the base of the device up an inch or so off the ground

on a similar note arearae techs told me to make sure the device is not top heavy they said that wind can blow the device over if possible we should avoid this but if it does happen we need to make sure it can’t blow over in such a way that it can rest on the ground covering the sensors",movement detection;if motion detection auto-reset is disabled the user can still choose to set a one time motion detection this should be initiated from the portal once triggered it would need to be reset each time in the portal this set/reset feature could be in the info-bar,0,0,A,A
3001,pump module;the inlets will need to be configurable over the air via the portal if they are used to sample calibrate zero or purge,"sticky gas with pump requirement

- we would like the pump on transportable to support sticky gas ie
- cl2
- clo2
- o3 (stretch goal",0,0,A,A
651,battery and run time;the transportable battery pack will have its own independent charge level indicator,movement detection;if motion detection auto-reset is disabled the user can still choose to set a one time motion detection this should be initiated from the portal once triggered it would need to be reset each time in the portal this set/reset feature could be in the info-bar,0,0,A,A
2046,calibration and bump test;we would like the ability to remotely initiate bump and cals this would of course require the transportable to have the pump module connected to a cylinder,configurations settings;language: same as g7 config,0,0,A,A
118,battery and run time;the battery pack will not be swappable in a hazardous location,calibration and bump test;to perform a calibration on certain cartridge configurations the transportable may need to be connected to two or three cylinders multi gas voc and purge this will need to be configured so the transportable knows which inlet to draw from,0,0,A,A
2801,certifications;   class 1 div 1 zone 0 what are the weather and water resistance standards for extended outdoor use? temperature - same as g7 specs the device needs to be resistant to rain ip-66/ip-67,gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;from the portal a safety administrator could trigger all of the transportables installed around the site to flash and broadcast verbal messages to “evacuate to muster point b… evacuate to muster point b”,0,0,A,A
32,battery and run time;60 days run-time without pump,movement detection;setting or enabling movement detection should be initiated from the transportable’s lcd menu;and also remotely from the portal,0,0,A,A
2696,movement detection;if motion detection auto-reset is disabled the user can still choose to set a one time motion detection this should be initiated from the portal once triggered it would need to be reset each time in the portal this set/reset feature could be in the info-bar,configurations settings;custom name: assigned to the device like naming a dock,0,0,A,A
2242,calibration and bump test;to perform a calibration on certain cartridge configurations the transportable may need to be connected to two or three cylinders multi gas voc and purge this will need to be configured so the transportable knows which inlet to draw from,configurations settings;gas settings: same as g7 config,0,0,A,A
770,the transportable will need its own bright lights and sound for alarms the lights and sound should work 360 deg,configurations settings;notification when turned off: when a unit is placed in the field the operator might want to know if someone has tampered with it and turned it off  enable/disable toggle,0,0,A,A
112,battery and run time;the battery pack will not be swappable in a hazardous location,gas sensor cartridges;the transportable will need to support all gas combinations available with the four sensor cartridge this could be one to five gases,0,0,A,A
217,battery and run time;the transportable will have a power in port for slow battery charging that can be connected or disconnected inside a hazardous area the power in port can be supplied by a solar panel (hazardous locations) or other power supply (non-hazardous locations,confined space connectivity;for the shutdown/turnaround market the transportable needs to be able to communicate in confined space this may need further field testing/verification and improvement in future iteration,0,0,A,A
3927,configurations settings;sound:;can we have the speaker say “high gas detected hydrogen sulfide leave the area”? if so we would toggle this on/off,configurations settings;sos latch pull: enable/disable toggle,0,0,A,A
1982,calibration and bump test;bump and cals need to be manually initiated from the device,voice calling: a call can be placed to the device without setting it into alarm the channel just opens and the person can talk;we don’t need anything special here other than current g7 voice & ptt capabilities with the g7 we already have the ability to open a voice call without an alarm to device we did this for bs8484 this feature is toggled off by default on all orgs the use case for the transportable opening a communication channel would be a manager using the transportable to communicate an announcement to people in the area this ties into the mass notification mustering idea,0,0,A,A
521,battery and run time;the battery pack charge level of the transportable will be sent to the portal so that users can get notifications when a transportable is getting low,push-to-talk: the transportable should be capable of ptt;ptt can be toggled on/off from the server,0,0,A,A
2904,pump module;this means that gas alerts need to be accompanied by inlet information for example h2s high gas alert 32 ppm from inlet one,gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;the device will work independent of gas detection,0,0,A,A
1573,mounting;versatility of mounting is important mounting inserts in the plastic ability to use zip-ties or heavy duty magnets ability to bolt it to a surface,software requirements;alert profile and notification profile pages won’t need to change fundamentally we’ll need to add toggle settings for motion alert and a pump blocked (specify inlet,0,0,A,A
1954,calibration and bump test;bump and cals need to be manually initiated from the device,gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;from the portal a safety administrator could trigger all of the transportables installed around the site to flash and broadcast verbal messages to “evacuate to muster point b… evacuate to muster point b”,0,0,A,A
1459,mounting;the transportable can be hooked to a solar panel in a hazardous zone we’ll want to source our own so that it can be sold with the kit,satellite and cellular communication options;we would like to have an option upgrade module which would when installed allow the transportable to also communicate with iridium satellites similar to the bridge,0,0,A,A
1006,external av port(s);one of the ports will need the ability to stop a generator perhaps the port output alone won’t interface with a generator directly there might be an intermediary the use case is for the transportable to be close to a generator or other non-is equipment if the transportable detectors lel in the area it can shut off the equipment,configurations settings;bump;automatic bump test on schedule toggle,0,0,A,A
996,external av port(s);one of the ports will need the ability to stop a generator perhaps the port output alone won’t interface with a generator directly there might be an intermediary the use case is for the transportable to be close to a generator or other non-is equipment if the transportable detectors lel in the area it can shut off the equipment,configurations settings;custom name: assigned to the device like naming a dock,0,0,A,A
3575,configurations settings;pump;the device has to be available with or without the pump module,configurations settings;calibration;ability to not allow calibration while in operation on the field,0,0,A,A
1194,need a visual way to look at a transportable while in the field and see if it is connected to the network green suresafe connectivity light needs to be visible,software requirements;notification profile pages won’t need to change fundamentally we’ll need to add toggle settings for motion alert and a pump blocked (specify inlet,0,0,A,A
520,battery and run time;the battery pack charge level of the transportable will be sent to the portal so that users can get notifications when a transportable is getting low,voice calling: a call can be placed to the device without setting it into alarm the channel just opens and the person can talk;calls can be made from the device to a set list of phone numbers,0,0,A,A
1950,calibration and bump test;bump and cals need to be manually initiated from the device,pump module;[moved to future scope,0,0,A,A
945,external av port(s);it would be possible to have these av ports configurable sending on/off information for different reasons;it would also be possible to have this ports communicate more complex information to some type of external hardware network,battery usage and tracking schedules;updated gps locations can be less frequent perhaps only on motion,0,0,A,A
4021,configurations settings;connection lost notification: no alarm on device just portal/email/sms,software requirements;alert profile and notification profile pages won’t need to change fundamentally we’ll need to add toggle settings for motion alert and a pump blocked (specify inlet,0,0,A,A
3969,configurations settings;sos latch pull: enable/disable toggle,software requirements;the transportable will appear on the maps pages with a new icon g7 is a person bridge is a network icon not sure what the transportable should be,0,0,A,A
2708,movement detection;if motion detection auto-reset is disabled the user can still choose to set a one time motion detection this should be initiated from the portal once triggered it would need to be reset each time in the portal this set/reset feature could be in the info-bar,configurations settings;bump;specify which inlets to use for gas and purge we will need a check here if the pump is set to sample from an inlet as well this would be a conflict,0,0,A,A
3584,configurations settings;pump;the device has to be available with or without the pump module,configurations settings;sound:;enable/disable toggle,0,0,A,A
3118,pump module;the pump needs to work with chlorine,configurations settings;bump;automatic bump test on schedule toggle,0,0,A,A
1060,external av port(s);it would be useful for the transportable to detect and alarm on all gases but only trigger the shut down on when lel is detected,movement detection;phil b 1/8/19 requirement changed: we will auto reset in the same way the tracking products did barry will define the details;set as part of the transportable configuration profile “movement detection auto-reset” should be an option when toggled on the transportable would always throw a notification when it is moved obviously it would need a buffer between notifications of around 15-30 minutes also it should not throw an notification for the first 30 minutes after it has been powered on the device would need to be powered down while moving it to avoid notifications,0,0,A,A
1267,mounting;they are generally fixed to something while transported or during an extended hole watch its reasonable to expect them to be on the ground without a tripod the design should facilitate setting it down on the dirty ground,software requirements;alerts can work the same way they do now on the g7 unacknowledged acknowledged resolved;gas alarms will work the same way they do on g7 - they stop local alarming when gas levels recede but the remote portal alarm is persistent until ack’d  the blue responding indicator will still be present on the transportable we should still resolve alerts that are older than 2 weeks,0,0,A,A
114,battery and run time;the battery pack will not be swappable in a hazardous location,calibration and bump test;bump and cals need to be manually initiated from the device,0,0,A,A
1774,gas sensor cartridges;we plan to use our existing four sensor cartridges for the transportable the transportable will not need to interface with the standard (no gas) single sensor or four sensor pumped cartridges it will only need to physically interface with the non-pumped four sensor cartridge,messages;like the g7 the transportable should be able to receive messages from the server and send pre-canned and custom messages the way the g7 does from the configuration profile we want the ability to toggle-off or disable the ability to send messages from the transportable (we would like this functionality for the g7 as well but that’s a separate consideration) messaging would be available over cellular and satellite,0,0,A,A
551,battery and run time;the transportable will have a battery charge level indicator,gas sensor cartridges;we plan to use our existing four sensor cartridges for the transportable the transportable will not need to interface with the standard (no gas) single sensor or four sensor pumped cartridges it will only need to physically interface with the non-pumped four sensor cartridge,0,0,A,A
4053,configurations settings;notification when turned off: when a unit is placed in the field the operator might want to know if someone has tampered with it and turned it off  enable/disable toggle,mass audio notification,0,0,A,A
2541,movement detection;setting or enabling movement detection should be initiated from the transportable’s lcd menu;and also remotely from the portal,configurations settings;sos latch pull: enable/disable toggle,0,0,A,A
2,battery and run time;60 days run-time without pump,battery and run time;the transportable battery pack can be removed for fast charging outside of a hazardous location,0,0,A,A
4250,software requirements;alerts can work the same way they do now on the g7 unacknowledged acknowledged resolved;gas alarms will work the same way they do on g7 - they stop local alarming when gas levels recede but the remote portal alarm is persistent until ack’d  the blue responding indicator will still be present on the transportable we should still resolve alerts that are older than 2 weeks,software requirements;the transportable will need more information related to gas alerts depending on what inlet they are coming from for example high gas h2s from inlet 1 or over limit lel from inlet 3,0,0,A,A
