,index,comb_id,req1,req2,BinaryClass,MultiClass,PredictedLabel,Predict_Proba_Class_0,Predict_Proba_Class_1
47,210,15658.0,the etcs trainborne equipment shall be able to determine the location of the entire train,after the acknowledgement the driver shall be able to continue the movement,0,0.0,0,0.97,0.03
48,6,12290.0,the etcs on-board shall be capable of receiving track description from the trackside,the etcs on-board shall be capable of receiving information regarding air tightness from the trackside,1,1.0,1,0.04,0.96
49,178,3725.0,the current operational status shall be indicated to the driver on the dmi,route unsuitability shall be indicated on the dmi,1,2.0,1,0.0,1.0
50,181,15302.0,the release speed shall be indicated on the dmi,when the plain text message appears on the dmi the driver shall be alerted,0,0.0,0,0.81,0.19
51,137,1708.0,the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,after the acknowledgement the driver shall be able to continue the movement,1,2.0,1,0.25,0.75
52,160,9861.0,the train shall have the capability of being supervised to a ceiling speed,the train shall as a minimum be supervised to a ceiling speed; the supervised speed shall not be shown on the dmi unless selected by the driver,1,3.0,1,0.16,0.84
53,183,8738.0,the supervised shunting speed shall be indicated to the driver on request,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,1,2.0,1,0.4,0.6
54,312,7436.0,if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,0,0.0,0,0.87,0.13
55,197,8015.0,permission received shall be indicated to the driver,the driver shall select an override control according to the permission received,0,0.0,0,0.79,0.21
56,287,16176.0,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,0,0.0,0,0.94,0.06
57,81,7812.0,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,0,0.0,0,0.89,0.11
58,350,16546.0,if the train or the shunting movement exceeds the permitted ceiling speed by a certain harmonised margin the trainborne equipment shall execute a brake intervention until the actual speed does not exceed permitted speed; then the driver shall be able to release the brake,when the traction unit has come to a standstill the driver shall be able to release the emergency brake,0,0.0,0,0.77,0.23
59,296,1560.0,the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,if as a result of an automatic transition except for transitions to and from national operation (stm) the responsibility for the driver increases the etcs shall seek an acknowledgement from the driver whether the train is stationary or not,0,0.0,0,0.79,0.21
60,219,3726.0,the current operational status shall be indicated to the driver on the dmi,the driver shall be able to override the function when the train is stationary,0,0.0,0,0.82,0.18
61,179,3695.0,the current operational status shall be indicated to the driver on the dmi,the roll away/reverse movement intervention shall be indicated on the dmi,1,2.0,1,0.01,0.99
62,390,11871.0,the on board shall supervise the train against a ceiling speed,if the train or the shunting movement exceeds the permitted ceiling speed by a certain harmonised margin the trainborne equipment shall execute a brake intervention until the actual speed does not exceed permitted speed; then the driver shall be able to release the brake,1,2.0,1,0.21,0.79
63,2,15242.0,the release speed shall be indicated on the dmi,actual speed shall be indicated on the dmi,1,2.0,1,0.0,1.0
64,252,13093.0,the target distance to be displayed on the dmi shall be based on the most restrictive braking curve,the supervised speed shall not be shown on the dmi,0,0.0,0,0.88,0.12
65,115,11225.0,isolation of the etcs trainborne equipment shall disconnect the etcs trainborne equipment from the vehicle braking system,the etcs trainborne equipment shall be able to determine the location of the entire train,0,0.0,0,0.91,0.09
66,152,13940.0,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,1,2.0,1,0.32,0.68
67,141,13901.0,the target distance shall not be shown on the dmi unless selected by the driver,information shall be shown on the dmi,1,3.0,1,0.04,0.96
68,120,19024.0,after the acknowledgement the driver shall be able to continue the movement,the driver shall be able to use the reversing function without needing to re-confirm the train data,0,0.0,0,0.97,0.03
69,140,15308.0,the release speed shall be indicated on the dmi,information shall be shown on the dmi,1,3.0,1,0.04,0.96
70,159,18648.0,the emergency stop shall be indicated to the driver on the dmi,the following train data shall be sent from the on board to the trackside,0,0.0,0,0.82,0.18
71,175,3616.0,the current operational status shall be indicated to the driver on the dmi,permission received shall be indicated to the driver,1,2.0,1,0.26,0.74
72,347,15435.0,"when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",if the train or the shunting movement exceeds the permitted ceiling speed by a certain harmonised margin the trainborne equipment shall execute a brake intervention until the actual speed does not exceed permitted speed; then the driver shall be able to release the brake,0,0.0,0,0.75,0.25
73,21,12287.0,the etcs on-board shall be capable of receiving track description from the trackside,the etcs on-board shall be capable of receiving information about pantograph and power supply from the trackside,1,3.0,1,0.02,0.98
74,110,18216.0,actual speed shall still be shown on the dmi,a special indication shall be shown on the dmi,1,2.0,1,0.09,0.91
75,308,15767.0,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,the following train data shall be sent from the on board to the trackside,0,0.0,0,0.98,0.02
76,334,14028.0,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,the occurrence of a failure shall be displayed on the dmi,0,0.0,0,0.74,0.26
77,349,14148.0,etcs shall calculate the permitted speed for the train for all locations of the authorised movement,"when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",0,0.0,0,0.99,0.01
78,124,8026.0,permission received shall be indicated to the driver,the emergency stop shall be indicated to the driver on the dmi,1,2.0,1,0.12,0.88
79,245,11415.0,the etcs trainborne equipment shall be capable of receiving information from the national train control systems by means of the stm,the etcs on-board shall be capable of receiving information regarding air tightness from the trackside,1,2.0,1,0.22,0.78
80,244,10924.0,the etcs trainborne equipment shall be capable of being isolated,isolation of the etcs trainborne equipment shall disconnect the etcs trainborne equipment from the vehicle braking system,1,3.0,0,0.52,0.48
81,286,11573.0,unfitted operation shall be possible if ordered by trackside,unfitted operation shall be possible if selected by the driver at start up,1,3.0,1,0.07,0.93
82,212,9668.0,partial supervision shall be indicated on the dmi,information shall be shown on the dmi,1,3.0,1,0.0,1.0
83,272,5164.0,the dmi shall indicate the result of the self-test,the occurrence of a failure shall be displayed on the dmi,1,2.0,1,0.26,0.74
84,319,7408.0,if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,the emergency stop shall be indicated to the driver on the dmi,0,0.0,0,0.9,0.1
85,372,5972.0,the driver shall be able to consult train data when the train is stationary or moving,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,1,3.0,1,0.29,0.71
86,148,16582.0,if the train or the shunting movement exceeds the permitted ceiling speed by a certain harmonised margin the trainborne equipment shall execute a brake intervention until the actual speed does not exceed permitted speed; then the driver shall be able to release the brake,after the acknowledgement the driver shall be able to continue the movement,1,1.0,1,0.21,0.79
87,274,11841.0,the on board shall supervise the train against a ceiling speed,the train shall as a minimum be supervised to a ceiling speed; the supervised speed shall not be shown on the dmi unless selected by the driver,1,3.0,1,0.26,0.74
88,32,19015.0,after the acknowledgement the driver shall be able to continue the movement,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0,0.0,0,0.96,0.04
89,78,19512.0,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,the following train data shall be sent from the on board to the trackside,0,0.0,0,0.88,0.12
90,382,17033.0,when the traction unit has come to a standstill the driver shall be able to release the emergency brake,the emergency brake shall be applied until the traction unit is stationary,1,1.0,0,0.6,0.4
91,23,1461.0,the current application level shall be indicated on the dmi,the release speed shall be indicated on the dmi,1,2.0,1,0.02,0.98
92,0,19298.0,it shall be possible to send plain text messages from track to train,it shall be possible to send fixed text messages from track to train,1,3.0,1,0.49,0.51
93,340,18341.0,the supervised speed shall not be shown on the dmi,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,0,0.0,0,0.7,0.3
94,265,9771.0,in partial supervision the train shall be supervised according to train speed and distance data available,it shall be possible to drive the train backwards in a supervised way (speed and distance) according to information received from trackside,0,0.0,0,0.68,0.32
95,10,18301.0,a special indication shall be shown on the dmi,information shall be shown on the dmi,1,3.0,1,0.09,0.91
96,132,9649.0,partial supervision shall be indicated on the dmi,operation of the train trip shall be indicated on the dmi,1,2.0,1,0.05,0.95
97,133,15919.0,actual speed shall be indicated on the dmi,operation of the train trip shall be indicated on the dmi,1,2.0,1,0.12,0.88
98,289,9871.0,the train shall have the capability of being supervised to a ceiling speed,when changing to a higher speed level the rear end of the train shall respect the static train speed profile,0,0.0,0,0.78,0.22
99,388,1447.0,the current application level shall be indicated on the dmi,the target distance shall not be shown on the dmi unless selected by the driver,1,2.0,1,0.03,0.97
100,85,1515.0,the current application level shall be indicated on the dmi,operation of the train trip shall be indicated on the dmi,1,2.0,1,0.1,0.9
101,310,10964.0,the etcs trainborne equipment shall be capable of being isolated,the etcs trainborne equipment shall be able to determine the location of the entire train,0,0.0,0,0.86,0.14
102,371,12301.0,the etcs on-board shall be capable of receiving track description from the trackside,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,1,1.0,1,0.43,0.57
103,254,15616.0,the etcs trainborne equipment shall be able to determine the location of the entire train,if the train or the shunting movement exceeds the permitted ceiling speed by a certain harmonised margin the trainborne equipment shall execute a brake intervention until the actual speed does not exceed permitted speed; then the driver shall be able to release the brake,0,0.0,0,0.76,0.24
104,165,15652.0,the etcs trainborne equipment shall be able to determine the location of the entire train,the driver shall be able to override the function when the train is stationary,0,0.0,0,0.99,0.01
105,214,18733.0,route unsuitability shall be indicated on the dmi,information shall be shown on the dmi,1,3.0,1,0.0,1.0
106,198,8735.0,the supervised shunting speed shall be indicated to the driver on request,actual speed shall be indicated on the dmi,1,2.0,1,0.08,0.92
107,356,18899.0,operation of the train trip shall be indicated on the dmi,information shall be shown on the dmi,1,3.0,1,0.08,0.92
108,242,3918.0,the etcs on-board shall be capable of receiving national values from the trackside to adapt to national requirements,the etcs on-board shall be capable of receiving information regarding air tightness from the trackside,1,2.0,1,0.06,0.94
109,336,3930.0,the etcs on-board shall be capable of receiving national values from the trackside to adapt to national requirements,the following train data shall be sent from the on board to the trackside,1,1.0,1,0.12,0.88
110,193,19173.0,the etcs on-board shall be capable of receiving information about pantograph and power supply from the trackside,the etcs trainborne equipment shall indicate on the dmi the information regarding pantograph and power supply,1,3.0,1,0.13,0.87
111,33,8776.0,the supervised shunting speed shall be indicated to the driver on request,the emergency stop shall be indicated to the driver on the dmi,1,1.0,1,0.26,0.74
112,269,11322.0,the etcs trainborne equipment shall be capable of receiving information from the national train control systems by means of the stm,the etcs on-board shall be capable of receiving track description from the trackside,1,2.0,1,0.27,0.73
113,87,18632.0,the emergency stop shall be indicated to the driver on the dmi,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,1,2.0,1,0.28,0.72
114,3,10114.0,the train shall leave partial supervision when the trainborne equipment is not operative any longer when shunting is selected or when full supervision is available,the trainborne equipment shall remain in full supervision until the trainborne equipment is not active any longer when shunting is selected or when partial supervision information is received,1,1.0,1,0.21,0.79
115,278,15476.0,"when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,0,0.0,0,0.95,0.05
116,218,13596.0,the train shall be supervised according to train speed data available,the train shall as a minimum be supervised to a ceiling speed; the supervised speed shall not be shown on the dmi unless selected by the driver,1,3.0,1,0.09,0.91
117,222,1554.0,the current application level shall be indicated on the dmi,the occurrence of a failure shall be displayed on the dmi,1,2.0,1,0.11,0.89
118,125,9643.0,partial supervision shall be indicated on the dmi,the emergency stop shall be indicated to the driver on the dmi,1,2.0,1,0.02,0.98
119,177,3682.0,the current operational status shall be indicated to the driver on the dmi,actual speed shall be indicated on the dmi,1,2.0,1,0.01,0.99
120,216,13624.0,the train shall be supervised according to train speed data available,a train shall be supervised to its static and dynamic train speed profiles,1,2.0,1,0.12,0.88
121,330,5464.0,the driver shall be able to select train data entry on the dmi,operation of the train trip shall be indicated on the dmi,0,0.0,0,0.79,0.21
122,182,1993.0,the etcs trainborne equipment shall be capable of supervising the following operational states,the etcs trainborne equipment shall be capable of receiving information from the national train control systems by means of the stm,0,0.0,1,0.45,0.55
123,28,15765.0,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,1,2.0,0,0.93,0.07
124,25,16217.0,visual and acoustic warnings to the driver about possible intervention from etcs shall be given to enable the driver to react and avoid intervention,within the braking curve area a warning shall be given to the driver to enable him to react and avoid intervention from etcs equipment at least 5 sec before the intervention,1,3.0,1,0.49,0.51
125,215,19153.0,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0,0.0,0,0.85,0.15
126,17,15283.0,the release speed shall be indicated on the dmi,the emergency stop shall be indicated to the driver on the dmi,1,2.0,1,0.03,0.97
127,232,14445.0,the etcs trainborne equipment calculates the static train speed profile on the basis of infrastructure data and train data,if there are failures of the trainborne equipment which compromise the safety of train supervision the etcs trainborne equipment shall immediately command the brake and bring the train to a stop,1,3.0,1,0.47,0.53
128,304,6629.0,the entry of driver identification and the selection of the language shall be possible,the information regarding lowering and raising of the pantograph and opening/closing of the circuit breaker shall be provided separately and in combinations,0,0.0,0,0.83,0.17
129,264,18175.0,when the train passes the stop signal the train trip function shall be suppressed,operation of the train trip shall be indicated on the dmi,0,0.0,0,0.91,0.09
130,199,9615.0,partial supervision shall be indicated on the dmi,the roll away/reverse movement intervention shall be indicated on the dmi,1,2.0,1,0.02,0.98
131,31,17034.0,when the traction unit has come to a standstill the driver shall be able to release the emergency brake,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,1,1.0,1,0.3,0.7
132,18,2496.0,if as a result of an automatic transition except for transitions to and from national operation (stm) the responsibility for the driver increases the etcs shall seek an acknowledgement from the driver whether the train is stationary or not,for transitions to and from national operation (stm) the etcs shall request an acknowledgement by the driver,1,1.0,1,0.23,0.77
133,97,15296.0,the release speed shall be indicated on the dmi,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,1,2.0,1,0.21,0.79
134,273,19145.0,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,when the plain text message appears on the dmi the driver shall be alerted,0,0.0,0,0.93,0.07
135,230,15471.0,"when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",the driver shall be able to override the function when the train is stationary,0,0.0,0,0.96,0.04
136,229,19489.0,information shall be shown on the dmi,the occurrence of a failure shall be displayed on the dmi,1,3.0,1,0.18,0.82
137,207,12299.0,the etcs on-board shall be capable of receiving track description from the trackside,the etcs on-board shall be capable of sending to the trackside train integrity information detected by a system outside etcs,1,1.0,1,0.1,0.9
138,4,9720.0,in partial supervision the train shall be supervised according to train speed and distance data available,the train shall be supervised according to train speed data available,1,2.0,1,0.27,0.73
139,345,5134.0,the dmi shall indicate the result of the self-test,the etcs trainborne equipment shall indicate on the dmi the information regarding pantograph and power supply,1,2.0,1,0.12,0.88
140,299,1528.0,the current application level shall be indicated on the dmi,when the plain text message appears on the dmi the driver shall be alerted,0,0.0,0,0.75,0.25
141,373,19331.0,when the plain text message appears on the dmi the driver shall be alerted,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,0,0.0,0,0.84,0.16
142,341,8803.0,the supervised shunting speed shall be indicated to the driver on request,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0,0.0,0,0.95,0.05
143,128,16195.0,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0,0.0,0,0.9,0.1
144,380,13722.0,the train shall as a minimum be supervised to a ceiling speed; the supervised speed shall not be shown on the dmi unless selected by the driver,"when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",0,0.0,0,0.92,0.08
145,263,5841.0,the driver shall be able to consult train data when the train is stationary or moving,stored train data shall be offered to the driver to be confirmed when data entry starts,1,3.0,1,0.16,0.84
146,180,11186.0,isolation of the etcs trainborne equipment shall disconnect the etcs trainborne equipment from the vehicle braking system,the etcs trainborne equipment shall be capable of receiving information from the national train control systems by means of the stm,0,0.0,0,0.86,0.14
147,106,3825.0,the etcs on-board shall be capable of receiving national values from the trackside to adapt to national requirements,the etcs on-board shall be capable of receiving track description from the trackside,1,2.0,1,0.05,0.95
148,255,19492.0,the etcs on-board shall be capable of sending to the trackside train integrity information detected by a system outside etcs,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,1,2.0,0,0.52,0.48
149,213,15938.0,actual speed shall be indicated on the dmi,information shall be shown on the dmi,1,3.0,1,0.01,0.99
150,91,7900.0,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0,0.0,0,0.97,0.03
151,307,15741.0,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,the driver shall be able to override the function when the train is stationary,0,0.0,0,1.0,0.0
152,355,18334.0,the supervised speed shall not be shown on the dmi,operation of the train trip shall be indicated on the dmi,0,0.0,0,0.66,0.34
153,362,13945.0,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,0,0.0,0,0.87,0.13
154,376,3748.0,the current operational status shall be indicated to the driver on the dmi,information shall be shown on the dmi,1,3.0,1,0.02,0.98
155,76,18625.0,the emergency stop shall be indicated to the driver on the dmi,operation of the train trip shall be indicated on the dmi,1,2.0,1,0.15,0.85
156,204,18960.0,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,after the acknowledgement the driver shall be able to continue the movement,1,1.0,0,0.84,0.16
157,389,13921.0,the target distance shall not be shown on the dmi unless selected by the driver,the occurrence of a failure shall be displayed on the dmi,1,2.0,1,0.11,0.89
158,375,3759.0,the current operational status shall be indicated to the driver on the dmi,the driver shall be able to use the reversing function without needing to re-confirm the train data,0,0.0,0,0.92,0.08
159,201,16955.0,the roll away/reverse movement intervention shall be indicated on the dmi,route unsuitability shall be indicated on the dmi,1,2.0,1,0.02,0.98
160,111,3685.0,the current operational status shall be indicated to the driver on the dmi,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,1,2.0,1,0.21,0.79
161,379,15138.0,where failure to apply the full service brake is detected the emergency brake shall stop the train in rear of the danger point,if there are failures of the trainborne equipment which compromise the safety of train supervision the etcs trainborne equipment shall immediately command the brake and bring the train to a stop,1,2.0,1,0.26,0.74
