,Unnamed: 0,Unnamed: 0.1,req1,req1_id,req2,req2_id,similarity,cosine,BinaryClass,MultiClass,Id
105,230,1534,the current application level shall be indicated on the dmi,3.2.1.3d,information shall be shown on the dmi,4.8.10.2,0,0.502929265,1,3,105
106,231,19489,information shall be shown on the dmi,4.8.10.2,the occurrence of a failure shall be displayed on the dmi,5.2.1.2a,0,0.502929265,1,3,106
107,234,14445,the etcs trainborne equipment calculates the static train speed profile on the basis of infrastructure data and train data,4.3.1.4a,if there are failures of the trainborne equipment which compromise the safety of train supervision the etcs trainborne equipment shall immediately command the brake and bring the train to a stop,5.2.1.1,0,0.502636322,1,3,107
111,246,10924,the etcs trainborne equipment shall be capable of being isolated,4.1.6.1a,isolation of the etcs trainborne equipment shall disconnect the etcs trainborne equipment from the vehicle braking system,4.1.6.6,0,0.499747603,1,3,111
116,265,5841,the driver shall be able to consult train data when the train is stationary or moving,4.1.2.9,stored train data shall be offered to the driver to be confirmed when data entry starts,4.1.2.11,0,0.493183663,1,3,116
119,276,11841,the on board shall supervise the train against a ceiling speed,4.1.8.3,the train shall as a minimum be supervised to a ceiling speed; the supervised speed shall not be shown on the dmi unless selected by the driver,4.2.3.6b,0,0.490891123,1,3,119
120,282,18644,the emergency stop shall be indicated to the driver on the dmi,4.6.4.8,information shall be shown on the dmi,4.8.10.2,0,0.489186077,1,3,120
121,288,11573,unfitted operation shall be possible if ordered by trackside,4.1.8.1,unfitted operation shall be possible if selected by the driver at start up,4.1.8.2,0,0.487190904,1,3,121
123,295,15330,if the release speed is calculated on board it shall ensure that the train will stop before reaching the danger point,4.3.3.2d,"when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",4.3.3.3,0,0.485446294,1,3,123
125,335,19184,the etcs on-board shall be capable of receiving information about pantograph and power supply from the trackside,4.8.1.1,the etcs on-board shall be capable of sending to the trackside train integrity information detected by a system outside etcs,4.9.5.1,0,0.479300237,1,3,125
129,358,18899,operation of the train trip shall be indicated on the dmi,4.6.12.2,information shall be shown on the dmi,4.8.10.2,0,0.474329805,1,3,129
131,365,12320,it shall be possible to send information on adhesion conditions from trackside,4.1.1.3a,it shall also be possible to allow the driver to change the adhesion conditions; in this case information from trackside has priority,4.1.1.3b,0,0.47353909,1,3,131
134,374,5972,the driver shall be able to consult train data when the train is stationary or moving,4.1.2.9,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,4.7.3.2,0,0.470079831,1,3,134
135,378,3748,the current operational status shall be indicated to the driver on the dmi,3.9.1.6,information shall be shown on the dmi,4.8.10.2,0,0.469342404,1,3,135
136,380,11316,the etcs trainborne equipment shall be capable of receiving information from the national train control systems by means of the stm,4.1.7.1,the dmi shall display or be compatible with information from national train control systems this may mean displaying the information shown by the national system,4.1.7.2,0,0.469227938,1,3,136
143,403,9749,in partial supervision the train shall be supervised according to train speed and distance data available,4.1.4.4a,a train shall be supervised to its static and dynamic train speed profiles,4.3.7.1,0,0.465291532,1,3,143
145,19598,270,etcs shall be able to supervise train and shunting movements,3.1.1.1b,the ceiling speed value for the unfitted operation is determined by the lower value out of,4.1.8.4,0,0,1,3,145
148,19682,16388,a train shall be supervised to its static and dynamic train speed profiles,4.3.7.1,after releasing the emergency brake etcs will provide the supervision appertaining when roll away protection was initiated,4.3.9.3,0,0,1,3,148
39,63,16542,if the train or the shunting movement exceeds the permitted ceiling speed by a certain harmonised margin the trainborne equipment shall execute a brake intervention until the actual speed does not exceed permitted speed; then the driver shall be able to release the brake,4.3.7.3,if decided by a national value the driver may release the etcs emergency brake when the actual speed is below the permitted speed,4.3.7.4c,0,0.58567007,1,4,39
44,76,1468,the current application level shall be indicated on the dmi,3.2.1.3d,actual speed shall be indicated on the dmi,4.3.51a,0,0.574381355,1,4,44
10,14,1376,the current application level shall be indicated on the dmi,3.2.1.3d,the current operational status shall be indicated to the driver on the dmi,3.9.1.6,0,0.671356907,1,4,10
1,1,14651,when changing to a lower speed level the front end of the train shall respect the dynamic train speed profile,4.3.2.2a,when changing to a higher speed level the rear end of the train shall respect the static train speed profile,4.3.2.2b,0,0.81438335,1,4,1
51,92,15275,the release speed shall be indicated on the dmi,4.3.3.2c,actual speed shall still be shown on the dmi,4.5.2.4,0,0.563254509,1,4,51
110,244,3918,the etcs on-board shall be capable of receiving national values from the trackside to adapt to national requirements,3.10.1.1,the etcs on-board shall be capable of receiving information regarding air tightness from the trackside,4.8.2.1,0,0.500477407,1,4,110
50,89,18632,the emergency stop shall be indicated to the driver on the dmi,4.6.4.8,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,4.7.3.2,0,0.565012028,1,4,50
86,181,3695,the current operational status shall be indicated to the driver on the dmi,3.9.1.6,the roll away/reverse movement intervention shall be indicated on the dmi,4.3.9.1c,0,0.518135446,1,4,86
139,390,1447,the current application level shall be indicated on the dmi,3.2.1.3d,the target distance shall not be shown on the dmi unless selected by the driver,4.2.3.6c,0,0.467269047,1,4,139
58,123,3661,the current operational status shall be indicated to the driver on the dmi,3.9.1.6,the target distance shall not be shown on the dmi unless selected by the driver,4.2.3.6c,0,0.543132147,1,4,58
90,198,7924,permission received shall be indicated to the driver,4.1.3.2d,the supervised shunting speed shall be indicated to the driver on request,4.1.3.5b,0,0.510751223,1,4,90
42,70,15255,the release speed shall be indicated on the dmi,4.3.3.2c,the roll away/reverse movement intervention shall be indicated on the dmi,4.3.9.1c,0,0.575617381,1,4,42
12,18,19175,the etcs on-board shall be capable of receiving information about pantograph and power supply from the trackside,4.8.1.1,the etcs on-board shall be capable of receiving information regarding air tightness from the trackside,4.8.2.1,0,0.657433972,1,4,12
62,129,18621,the emergency stop shall be indicated to the driver on the dmi,4.6.4.8,route unsuitability shall be indicated on the dmi,4.6.4.1c,0,0.541911937,1,4,62
84,179,3682,the current operational status shall be indicated to the driver on the dmi,3.9.1.6,actual speed shall be indicated on the dmi,4.3.51a,0,0.519011706,1,4,84
54,108,3825,the etcs on-board shall be capable of receiving national values from the trackside to adapt to national requirements,3.10.1.1,the etcs on-board shall be capable of receiving track description from the trackside,4.1.1.1,0,0.552814525,1,4,54
100,218,13624,the train shall be supervised according to train speed data available,4.2.3.6a,a train shall be supervised to its static and dynamic train speed profiles,4.3.7.1,0,0.503871157,1,4,100
103,224,1554,the current application level shall be indicated on the dmi,3.2.1.3d,the occurrence of a failure shall be displayed on the dmi,5.2.1.2a,0,0.503102612,1,4,103
69,141,15328,the release speed shall be indicated on the dmi,4.3.3.2c,the occurrence of a failure shall be displayed on the dmi,5.2.1.2a,0,0.537601088,1,4,69
122,293,15276,the release speed shall be indicated on the dmi,4.3.3.2c,a special indication shall be shown on the dmi,4.5.2.5a,0,0.486415696,1,4,122
24,38,15285,the release speed shall be indicated on the dmi,4.3.3.2c,route unsuitability shall be indicated on the dmi,4.6.4.1c,0,0.616631886,1,4,24
2,3,15242,the release speed shall be indicated on the dmi,4.3.3.2c,actual speed shall be indicated on the dmi,4.3.51a,0,0.771651025,1,4,2
59,126,8026,permission received shall be indicated to the driver,4.1.3.2d,the emergency stop shall be indicated to the driver on the dmi,4.6.4.8,0,0.541911937,1,4,59
65,134,9649,partial supervision shall be indicated on the dmi,4.1.4.3,operation of the train trip shall be indicated on the dmi,4.6.12.2,0,0.539773523,1,4,65
36,56,3621,the current operational status shall be indicated to the driver on the dmi,3.9.1.6,the supervised shunting speed shall be indicated to the driver on request,4.1.3.5b,0,0.592663625,1,4,36
60,127,9643,partial supervision shall be indicated on the dmi,4.1.4.3,the emergency stop shall be indicated to the driver on the dmi,4.6.4.8,0,0.541911937,1,4,60
13,19,15283,the release speed shall be indicated on the dmi,4.3.3.2c,the emergency stop shall be indicated to the driver on the dmi,4.6.4.8,0,0.653147742,1,4,13
48,87,1515,the current application level shall be indicated on the dmi,3.2.1.3d,operation of the train trip shall be indicated on the dmi,4.6.12.2,0,0.566644161,1,4,48
80,175,1522,the current application level shall be indicated on the dmi,3.2.1.3d,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,4.7.3.2,0,0.519213456,1,4,80
104,229,3768,the current operational status shall be indicated to the driver on the dmi,3.9.1.6,the occurrence of a failure shall be displayed on the dmi,5.2.1.2a,0,0.503040187,1,4,104
56,113,3685,the current operational status shall be indicated to the driver on the dmi,3.9.1.6,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,4.3.6.4,0,0.550401894,1,4,56
67,136,18714,route unsuitability shall be indicated on the dmi,4.6.4.1c,operation of the train trip shall be indicated on the dmi,4.6.12.2,0,0.539773523,1,4,67
82,177,3616,the current operational status shall be indicated to the driver on the dmi,3.9.1.6,permission received shall be indicated to the driver,4.1.3.2d,0,0.519011706,1,4,82
52,99,15296,the release speed shall be indicated on the dmi,4.3.3.2c,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,4.7.3.2,0,0.557405929,1,4,52
49,88,18919,operation of the train trip shall be indicated on the dmi,4.6.12.2,the occurrence of a failure shall be displayed on the dmi,5.2.1.2a,0,0.566644161,1,4,49
92,201,9615,partial supervision shall be indicated on the dmi,4.1.4.3,the roll away/reverse movement intervention shall be indicated on the dmi,4.3.9.1c,0,0.510751223,1,4,92
31,49,9645,partial supervision shall be indicated on the dmi,4.1.4.3,route unsuitability shall be indicated on the dmi,4.6.4.1c,0,0.602974816,1,4,31
28,42,15289,the release speed shall be indicated on the dmi,4.3.3.2c,operation of the train trip shall be indicated on the dmi,4.6.12.2,0,0.608325556,1,4,28
222,187,5995,the driver shall be able to consult train data when the train is stationary or moving,4.1.2.9,the driver shall be able to use the reversing function without needing to re-confirm the train data,4.9.10.5,0,0.514904272,0,0,222
267,19581,14271,this static train speed profile shall also respect maximum line speed and track speed and special speed levels for special classes of trains,4.3.1.2b,when the traction unit has come to a standstill the driver shall be able to release the emergency brake,4.3.9.2,0,0.016153663,0,0,267
113,248,19686,if the train is equipped with two operational radios there shall be no performance penalty as a result of a transition from one rbc to another (train spacing and train speed,4.9.12.2,if the train is equipped with only one operational radio passing from one rbc to another shall still be possible but might result in a performance penalty,4.9.12.3,0,0.499642907,1,0,113
133,373,12301,the etcs on-board shall be capable of receiving track description from the trackside,4.1.1.1,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,4.9.9.1,0,0.470531278,1,0,133
248,19574,7533,an etcs equipped traction unit shall be capable of being moved in shunting without train data track data or movement authority,4.1.3.1,if decided by a national value the driver may release the etcs emergency brake when the actual speed is below the permitted speed,4.3.7.4c,0,0.017908367,0,0,248
155,259,15751,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,4.3.4.2,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,4.7.3.2,0,0.495458522,0,0,155
262,212,15658,the etcs trainborne equipment shall be able to determine the location of the entire train,4.3.4.1,after the acknowledgement the driver shall be able to continue the movement,4.6.12.5a,0,0.506443214,0,0,262
279,314,7436,if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,4.1.2.17,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,4.9.9.1,0,0.482978642,0,0,279
160,19605,760,etcs is required to be functional to a maximum train speed of 500 km/h,3.1.1.10,the character set used shall support different languages,4.8.8.6,0,0,0,0,160
95,206,18960,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,4.6.12.4,after the acknowledgement the driver shall be able to continue the movement,4.6.12.5a,0,0.510516521,1,0,95
169,19563,9443,if acknowledgement is specified the driver shall acknowledge transfer from full supervision to partial supervision within 5 seconds,4.1.4.2a,this static train speed profile shall also respect maximum line speed and track speed and special speed levels for special classes of trains,4.3.1.2b,0,0.018964227,0,0,169
269,19636,5813,train data may be entered automatically from a railway management system or from train memory,4.1.2.5a,the onboard equipment shall display plain text messages as received,4.8.8.5,0,0,0,0,269
294,82,18628,the emergency stop shall be indicated to the driver on the dmi,4.6.4.8,after the acknowledgement the driver shall be able to continue the movement,4.6.12.5a,0,0.568264752,0,0,294
167,330,15468,"when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",4.3.3.3,the emergency stop shall be indicated to the driver on the dmi,4.6.4.8,0,0.479725774,0,0,167
215,323,15738,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,4.3.4.2,the emergency stop shall be indicated to the driver on the dmi,4.6.4.8,0,0.480989003,0,0,215
150,19600,612,etcs is required to be functional to a maximum train speed of 500 km/h,3.1.1.10,at start up the on board equipment shall perform an automatic self-test,4.1.1.3a,0,0,0,0,150
289,285,18182,when the train passes the stop signal the train trip function shall be suppressed,4.5.2.3,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,4.7.3.2,0,0.488537052,0,0,289
290,93,7900,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,4.1.3.2c,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,4.9.5.4,0,0.563084639,0,0,290
231,160,18622,the emergency stop shall be indicated to the driver on the dmi,4.6.4.8,the driver shall be able to override the function when the train is stationary,4.6.4.2,0,0.524757131,0,0,231
216,19554,14307,this static train speed profile shall also respect maximum line speed and track speed and special speed levels for special classes of trains,4.3.1.2b,after the acknowledgement the driver shall be able to continue the movement,4.6.12.5a,0,0.019498347,0,0,216
251,267,9771,in partial supervision the train shall be supervised according to train speed and distance data available,4.1.4.4a,it shall be possible to drive the train backwards in a supervised way (speed and distance) according to information received from trackside,4.4.7.1,0,0.49277074,0,0,251
126,338,3930,the etcs on-board shall be capable of receiving national values from the trackside to adapt to national requirements,3.10.1.1,the following train data shall be sent from the on board to the trackside,4.9.9.2,0,0.479080712,1,0,126
232,310,15767,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,4.3.4.2,the following train data shall be sent from the on board to the trackside,4.9.9.2,0,0.483416714,0,0,232
211,19653,8607,etcs shall supervise shunting operation to a permitted national speed value,4.1.3.5a,the retention period for the recorded data will be different and two levels are foreseen,4.3.10.5,0,0,0,0,211
246,60,18760,the driver shall be able to override the function when the train is stationary,4.6.4.2,after the acknowledgement the driver shall be able to continue the movement,4.6.12.5a,0,0.58836359,0,0,246
239,19640,7071,the following data may be entered manually by the driver or from train memory,4.1.2.16,standardised output interfaces shall enable transmission of information recorded to other media for investigation,4.3.10.4a,0,0,0,0,239
196,68,13720,the train shall as a minimum be supervised to a ceiling speed; the supervised speed shall not be shown on the dmi unless selected by the driver,4.2.3.6b,the release speed shall be indicated on the dmi,4.3.3.2c,0,0.57576017,0,0,196
147,19661,11596,unfitted operation shall be possible if ordered by trackside,4.1.8.1,the etcs trainborne equipment calculates the static train speed profile on the basis of infrastructure data and train data,4.3.1.4a,0,0,1,0,147
197,297,1663,the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,3.2.1.5,the driver shall have the possibility to select the language this does not concern non pre-defined texts sent from the trackside,4.3.6.6,0,0.485200099,0,0,197
207,80,19512,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,4.9.5.4,the following train data shall be sent from the on board to the trackside,4.9.9.2,0,0.569594758,0,0,207
168,221,3726,the current operational status shall be indicated to the driver on the dmi,3.9.1.6,the driver shall be able to override the function when the train is stationary,4.6.4.2,0,0.503470529,0,0,168
256,19625,5705,train data may be entered automatically from a railway management system or from train memory,4.1.2.5a,full supervision shall provide supervision of speed and distance,4.1.5.4,0,0,0,0,256
175,336,14028,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,4.2.3.6d,the occurrence of a failure shall be displayed on the dmi,5.2.1.2a,0,0.479265734,0,0,175
162,19583,3560,if an etcs equipped train passes a level transition to one or more levels for which it is not equipped etcs shall initiate a brake application,3.9.1.5,the information regarding lowering and raising of the pantograph and opening/closing of the circuit breaker shall be provided separately and in combinations,4.8.1.6,0,0.015975727,0,0,162
40,66,18921,the emergency brake shall be applied until the traction unit is stationary,4.6.12.3,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,4.6.12.4,0,0.580033744,1,0,40
220,43,13996,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,4.2.3.6d,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,4.7.3.2,0,0.607867963,0,0,220
241,352,16546,if the train or the shunting movement exceeds the permitted ceiling speed by a certain harmonised margin the trainborne equipment shall execute a brake intervention until the actual speed does not exceed permitted speed; then the driver shall be able to release the brake,4.3.7.3,when the traction unit has come to a standstill the driver shall be able to release the emergency brake,4.3.9.2,0,0.476077604,0,0,241
228,19621,4655,at start up the on board equipment shall perform an automatic self-test,4.1.1.3a,train data may be entered automatically from a railway management system or from train memory,4.1.2.5a,0,0,0,0,228
