class,,req1,req1_id,req2,req2_id,similarity,cosine,CORLEY&MIHALCEA-NA-par,BinaryClass,Multiclass
1489,1489,"the current application level shall be indicated on the dmi.
",3.2.1.3d,"the release speed shall be indicated on the dmi.
",4.3.3.2c,0,0.647328634,0.55,1,4
28653,28653,"actual speed shall still be shown on the dmi.
",4.5.2.4,"the supervised speed shall not be shown on the dmi.
",4.5.2.5b,0,0.647250372,0.6666667,1,5
22885,22885,"visual and acoustic warnings to the driver about possible intervention from etcs shall be given to enable the driver to react and avoid intervention.
",4.3.6.5,"within the braking curve area, a warning shall be given to the driver to enable him to react and avoid intervention from etcs equipment at least 5 sec. before the intervention.
",4.3.7.2,0,0.645874645,0.5833333,1,3
29080,29080,"the supervised speed shall not be shown on the dmi.
",4.5.2.5b,"information shall be shown on the dmi
",4.8.10.2,0,0.641581721,0.625,1,5
7761,7761,"the following data may be entered manually by the driver or from train memory:
",4.1.2.16,"the following data may be entered manually by the driver provided by external sources
:
",4.1.2.16,0,0.637029056,0.7083333,1,4
21758,21758,"on lines fitted with rbc, the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc.
",4.3.4.2,"the driver shall be able to confirm the train integrity to the rbc manually. the confirmation requires the train to be stationary.
",4.9.5.4,0,0.628616845,0.34848484,1,3
3865,3865,"the current operational status shall be indicated to the driver on the dmi
",3.9.1.6,"the release speed shall be indicated on the dmi.
",4.3.3.2c,0,0.625546886,0.51428574,1,4
9988,9988,"the supervised shunting speed shall be indicated to the driver on request.
",4.1.3.5b,"the train shall, as a minimum, be supervised to a ceiling speed; the supervised speed shall not be shown on the dmi unless selected by the driver.
",4.2.3.6b,0,0.624124515,0.45238096,1,2
24907,24907,"when the traction unit has come to a standstill, the driver shall be able to release the emergency brake.
",4.3.9.2,"when the traction unit is stationary the driver shall be required to acknowledge the train trip condition. this acknowledgement will release the emergency brake.
",4.6.12.4,0,0.621829438,0.5833333,1,3
32052,32052,"after the acknowledgement the driver shall be able to continue the movement
",4.6.12.5a,"the driver shall be able to confirm the train integrity to the rbc manually. the confirmation requires the train to be stationary.
",4.9.5.4,0,0.620525482,0.38636363,0,0
17965,17965,"the target distance shall not be shown on the dmi unless selected by the driver.
",4.2.3.6c,"the supervised speed shall not be shown on the dmi.
",4.5.2.5b,0,0.620005495,0.5833333,1,4
11191,11191,"partial supervision shall be indicated on the dmi.
",4.1.4.3,"the release speed shall be indicated on the dmi.
",4.3.3.2c,0,0.616631886,0.6,1,4
28684,28684,"actual speed shall still be shown on the dmi.
",4.5.2.4,"information shall be shown on the dmi
",4.8.10.2,0,0.615218691,0.625,1,4
21742,21742,"on lines fitted with rbc, the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc.
",4.3.4.2,"the etcs trainborne equipment shall transmit its own train identification to the rbc.
",4.7.1.1,0,0.615059196,0.625,1,3
1537,1537,"the current application level shall be indicated on the dmi.
",3.2.1.3d,"the emergency stop shall be indicated to the driver on the dmi.
",4.6.4.8,0,0.60839521,0.5,1,4
20747,20747,"the release speed shall be indicated on the dmi.
",4.3.3.2c,"operation of the train trip shall be indicated on the dmi.
",4.6.12.2,0,0.608325556,0.55,1,4
30873,30873,"the driver shall be able to override the function when the train is stationary.
",4.6.4.2,"the driver shall be able to use the reversing function without needing to re-confirm the train data.
",4.9.10.5,0,0.606904211,0.5277778,1,3
18182,18182,"on request of the rbc, the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear
",4.2.3.6d,"on demand, the position of the front end of the train at the time of the demand shall be indicated on the dmi. this shall be possible while the train is moving or stationary.
",4.7.3.2,0,0.607867963,0.15384616,,
30845,30845,"the driver shall be able to override the function when the train is stationary.
",4.6.4.2,"when the traction unit is stationary the driver shall be required to acknowledge the train trip condition. this acknowledgement will release the emergency brake.
",4.6.12.4,0,0.604767647,0.5208333,0,0
21577,21577,"the etcs trainborne equipment shall be able to determine the location of the entire train.
",4.3.4.1,"if there are failures of the trainborne equipment which compromise the safety of train supervision, the etcs trainborne equipment shall immediately command the brake and bring the train to a stop.
",5.2.1.1,0,0.603805466,0.35555556,0,
11198,11198,"partial supervision shall be indicated on the dmi.
",4.1.4.3,"actual speed shall be indicated on the dmi
",4.3.51a,0,0.602974816,0.6,0,
13078,13078,"the etcs trainborne equipment shall be capable of being isolated.
",4.1.6.1a,"the etcs trainborne equipment shall be capable of supervising the following operational states:
	",3.9.1.1,0,0.598825545,0.63492066,0,
21150,21150,"when the train is stationary or after a certain time (e.g. the time for ""route releasing"" of the overlap, the release speed calculation shall be based on the distance to the danger point (if calculated on-board). the condition for this change shall be defined for each target as infrastructure data.
",4.3.3.3,"on demand, the position of the front end of the train at the time of the demand shall be indicated on the dmi. this shall be possible while the train is moving or stationary.
",4.7.3.2,0,0.598699448,0.28846154,0,
11827,11827,"this ceiling speed shall not be shown continually on the dmi but may be shown momentarily when selected by the driver.
",4.1.4.4c,"the supervised speed shall not be shown on the dmi.
",4.5.2.5b,0,0.595299903,0.6439394,0,
11770,11770,"this ceiling speed shall not be shown continually on the dmi but may be shown momentarily when selected by the driver.
",4.1.4.4c,"the train shall, as a minimum, be supervised to a ceiling speed; the supervised speed shall not be shown on the dmi unless selected by the driver.
",4.2.3.6b,0,0.594780699,0.6969697,0,
6514,6514,the driver shall be able to consult train data when the train is stationary or moving.,4.1.2.9,"the driver shall be able to confirm the train integrity to the rbc manually. the confirmation requires the train to be stationary.
",4.9.5.4,0,0.594732482,0.47727272,0,
3811,3811,"the current operational status shall be indicated to the driver on the dmi
",3.9.1.6,"the supervised shunting speed shall be indicated to the driver on request.
",4.1.3.5b,0,0.592663625,0.42857143,0,
11771,11771,"this ceiling speed shall not be shown continually on the dmi but may be shown momentarily when selected by the driver.
",4.1.4.4c,"the target distance shall not be shown on the dmi unless selected by the driver.
",4.2.3.6c,0,0.589125337,0.64772725,0,
5893,5893,"the driver shall be able to select train data entry on the dmi.
",4.1.2.2,"the emergency stop shall be indicated to the driver on the dmi.
",4.6.4.8,0,0.588391592,0.4375,0,
30262,30262,"the emergency stop shall be indicated to the driver on the dmi.
",4.6.4.8,"when the plain text message appears on the dmi, the driver shall be alerted.
",4.8.8.3,0,0.58836359,0.41666666,0,
21560,21560,"the etcs trainborne equipment shall be able to determine the location of the entire train.
",4.3.4.1,"the driver shall be able to confirm the train integrity to the rbc manually. the confirmation requires the train to be stationary.
",4.9.5.4,0,0.588322244,0.3030303,0,
32862,32862,"on demand, the position of the front end of the train at the time of the demand shall be indicated on the dmi. this shall be possible while the train is moving or stationary.
",4.7.3.2,"the occurrence of a failure shall be displayed on the dmi.
",5.2.1.2a,0,0.58573086,0.2769231,0,
23680,23680,"if the train or the shunting movement exceeds the permitted ceiling speed by a certain harmonised margin, the trainborne equipment shall execute a brake intervention until the actual speed does not exceed permitted speed; then the driver shall be able to release the brake
",4.3.7.3,"if decided by a national value, the driver may release the etcs emergency brake when the actual speed is below the permitted speed.
",4.3.7.4c,0,0.58567007,0.35576922,0,
5920,5920,"the driver shall be able to select train data entry on the dmi.
",4.1.2.2,"the driver shall be able to confirm the train integrity to the rbc manually. the confirmation requires the train to be stationary.
",4.9.5.4,0,0.58488264,0.4318182,0,
35617,35617,"the driver shall be able to confirm the train integrity to the rbc manually. the confirmation requires the train to be stationary.
",4.9.5.4,"the on board shall be capable of sending train data to the trackside after confirmation by the driver, or when entering the rbc area
",4.9.9.1,0,0.584157945,0.41958043,0,
31637,31637,"the emergency brake shall be applied until the traction unit is stationary.
",4.6.12.3,"when the traction unit is stationary the driver shall be required to acknowledge the train trip condition. this acknowledgement will release the emergency brake.
",4.6.12.4,0,0.580033744,0.65625,0,
30270,30270,"the emergency stop shall be indicated to the driver on the dmi.
",4.6.4.8,"the driver shall be able to confirm the train integrity to the rbc manually. the confirmation requires the train to be stationary.
",4.9.5.4,0,0.576292623,0.25757575,0,
17725,17725,"the train shall, as a minimum, be supervised to a ceiling speed; the supervised speed shall not be shown on the dmi unless selected by the driver.
",4.2.3.6b,"the release speed shall be indicated on the dmi.
",4.3.3.2c,0,0.57576017,0.425,0,
10003,10003,"the supervised shunting speed shall be indicated to the driver on request.
",4.1.3.5b,"the release speed shall be indicated on the dmi.
",4.3.3.2c,0,0.575617381,0.51428574,0,
5238,5238,"the test shall require no action on the part of the driver.
",4.1.1.4b,"on request of the rbc, the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear
",4.2.3.6d,0,0.575095139,0.13846155,0,
22721,22721,"the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed. this shall be shown to the driver in a way that is understandable and logical.
",4.3.6.4,"the emergency stop shall be indicated to the driver on the dmi.
",4.6.4.8,0,0.574687146,0.33333334,0,
1441,1441,"the current application level shall be indicated on the dmi.
",3.2.1.3d,"partial supervision shall be indicated on the dmi.
",4.1.4.3,0,0.574381355,0.55,0,
30249,30249,"the emergency stop shall be indicated to the driver on the dmi.
",4.6.4.8,"operation of the train trip shall be indicated on the dmi.
",4.6.12.2,0,0.571737963,0.5,0,
16585,16585,"the target distance to be displayed on the dmi shall be based on the most restrictive braking curve.
",4.2.2.2,"the emergency stop shall be indicated to the driver on the dmi.
",4.6.4.8,0,0.571382744,0.26666668,0,
,36013,"
	the following train data shall be sent from the on board to the trackside:
	",4.9.9.2,"the driver shall be able to confirm the train integrity to the rbc manually. the confirmation requires the train to be stationary.
",4.9.5.4,0,0.569594758,0.25174826,0,
28464,28464,"when the train passes the stop signal, the train trip function shall be suppressed.
",4.5.2.3,"the driver shall be able to override the function when the train is stationary.
",4.6.4.2,0,0.569058073,0.44444445,0,
30252,30252,"the emergency stop shall be indicated to the driver on the dmi.
",4.6.4.8,"after the acknowledgement the driver shall be able to continue the movement
",4.6.12.5a,0,0.568264752,0.33333334,0,
8802,8802,"to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc.
",4.1.3.2c,"on request of the rbc, the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear
",4.2.3.6d,0,0.567730091,0.16025642,0,
8296,8296,"if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details
",4.1.2.17,"the driver shall be able to confirm the train integrity to the rbc manually. the confirmation requires the train to be stationary.
",4.9.5.4,0,0.567408638,0.26136363,0,
17971,17971,"the target distance shall not be shown on the dmi unless selected by the driver.
",4.2.3.6c,"the emergency stop shall be indicated to the driver on the dmi.
",4.6.4.8,0,0.567096638,0.4375,0,
29847,29847,"it shall be possible to command a conditional emergency stop. if the train has already passed the location for the emergency stop the command shall be ignored
",4.6.4.1c,"the emergency stop shall be indicated to the driver on the dmi.
",4.6.4.8,0,0.567012872,0.35714287,0,
1543,1543,"the current application level shall be indicated on the dmi.
",3.2.1.3d,"operation of the train trip shall be indicated on the dmi.
",4.6.12.2,0,0.566644161,0.5,0,
30256,30256,"the emergency stop shall be indicated to the driver on the dmi.
",4.6.4.8,"on demand, the position of the front end of the train at the time of the demand shall be indicated on the dmi. this shall be possible while the train is moving or stationary.
",4.7.3.2,0,0.565012028,0.3653846,0,
8820,8820,"to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc.
",4.1.3.2c,"on lines fitted with rbc, the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc.
",4.3.4.2,0,0.564221638,0.25,0,
3932,3932,"the current operational status shall be indicated to the driver on the dmi
",3.9.1.6,"when the plain text message appears on the dmi, the driver shall be alerted.
",4.8.8.3,0,0.563500396,0.3809524,0,
180,180,"etcs shall provide the driver with information to allow him to drive the train safely.
",3.1.1.1a,"
	the following train data shall be sent from the on board to the trackside:
	",4.9.9.2,0,0.359837517,NaN,,
20733,20733,"the release speed shall be indicated on the dmi.
",4.3.3.2c,"actual speed shall still be shown on the dmi.
",4.5.2.4,0,0.563254509,0.55,0,
8890,8890,"to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc.
",4.1.3.2c,"the driver shall be able to confirm the train integrity to the rbc manually. the confirmation requires the train to be stationary.
",4.9.5.4,0,0.563084639,0.26136363,0,
8876,8876,"to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc.
",4.1.3.2c,"on demand, the position of the front end of the train at the time of the demand shall be indicated on the dmi. this shall be possible while the train is moving or stationary.
",4.7.3.2,0,0.563074223,0.24038461,0,
3790,3790,"the current operational status shall be indicated to the driver on the dmi
",3.9.1.6,"the driver shall be able to select train data entry on the dmi.
",4.1.2.2,0,0.562443876,0.4017857,0,
16630,16630,"the target distance to be displayed on the dmi shall be based on the most restrictive braking curve.
",4.2.2.2,"the occurrence of a failure shall be displayed on the dmi.
",5.2.1.2a,0,0.562359522,0.45,0,
7292,7292,the entry of driver identification and the selection of the language shall be possible.,4.1.2.14a,"on demand, the position of the front end of the train at the time of the demand shall be indicated on the dmi. this shall be possible while the train is moving or stationary.
",4.7.3.2,0,0.562052,0.21978022,0,
5929,5929,"the driver shall be able to select train data entry on the dmi.
",4.1.2.2,"the driver shall be able to use the reversing function without needing to re-confirm the train data.
",4.9.10.5,0,0.562035981,0.5625,0,
20754,20754,"the release speed shall be indicated on the dmi.
",4.3.3.2c,"on demand, the position of the front end of the train at the time of the demand shall be indicated on the dmi. this shall be possible while the train is moving or stationary.
",4.7.3.2,0,0.557405929,0.41538462,0,
17773,17773,"the train shall, as a minimum, be supervised to a ceiling speed; the supervised speed shall not be shown on the dmi unless selected by the driver.
",4.2.3.6b,"the emergency stop shall be indicated to the driver on the dmi.
",4.6.4.8,0,0.557140588,0.375,0,
17740,17740,"the train shall, as a minimum, be supervised to a ceiling speed; the supervised speed shall not be shown on the dmi unless selected by the driver.
",4.2.3.6b,"if the train or the shunting movement exceeds the permitted ceiling speed by a certain harmonised margin, the trainborne equipment shall execute a brake intervention until the actual speed does not exceed permitted speed; then the driver shall be able to release the brake
",4.3.7.3,0,0.55711522,0.375,0,
24926,24926,"when the traction unit has come to a standstill, the driver shall be able to release the emergency brake.
",4.3.9.2,"the driver shall be able to confirm the train integrity to the rbc manually. the confirmation requires the train to be stationary.
",4.9.5.4,0,0.556657581,0.26136363,0,
16523,16523,"the target distance to be displayed on the dmi shall be based on the most restrictive braking curve.
",4.2.2.2,"the target distance shall not be shown on the dmi unless selected by the driver.
",4.2.3.6c,0,0.555905023,0.45,0,
1702,1702,"the driver shall acknowledge the level transitions, if requested from trackside. if the driver does not acknowledge after the transition the brake shall be applied. if the driver acknowledges afterwards, the brake can be released
",3.2.1.5,"if the train or the shunting movement exceeds the permitted ceiling speed by a certain harmonised margin, the trainborne equipment shall execute a brake intervention until the actual speed does not exceed permitted speed; then the driver shall be able to release the brake
",4.3.7.3,0,0.555557692,0.27083334,0,
31854,31854,"when the traction unit is stationary the driver shall be required to acknowledge the train trip condition. this acknowledgement will release the emergency brake.
",4.6.12.4,"the driver shall be able to confirm the train integrity to the rbc manually. the confirmation requires the train to be stationary.
",4.9.5.4,0,0.555075092,0.3068182,0,
23882,23882,"the driver shall be able to release an etcs emergency brake application when stationary.
",4.3.7.4b,"when the traction unit has come to a standstill, the driver shall be able to release the emergency brake.
",4.3.9.2,0,0.552949609,0.64166665,0,
3940,3940,"the current operational status shall be indicated to the driver on the dmi
",3.9.1.6,"the driver shall be able to confirm the train integrity to the rbc manually. the confirmation requires the train to be stationary.
",4.9.5.4,0,0.552915501,0.23376623,0,
4035,4035,"the etcs on-board shall be capable of receiving national values from the trackside to adapt to national requirements
",3.10.1.1,"the etcs on-board shall be capable of receiving track description from the trackside.
",4.1.1.1,0,0.552814525,0.675,0,
5510,5510,"the dmi shall indicate the result of the self-test.
",4.1.1.4c,"on demand, the position of the front end of the train at the time of the demand shall be indicated on the dmi. this shall be possible while the train is moving or stationary.
",4.7.3.2,0,0.551845689,0.16346154,0,
24902,24902,"when the traction unit has come to a standstill, the driver shall be able to release the emergency brake.
",4.3.9.2,"the driver shall be able to override the function when the train is stationary.
",4.6.4.2,0,0.551757847,0.3888889,0,
28652,28652,"actual speed shall still be shown on the dmi.
",4.5.2.4,"a special indication shall be shown on the dmi.
",4.5.2.5a,0,0.550779634,0.55,0,
3875,3875,"the current operational status shall be indicated to the driver on the dmi
",3.9.1.6,"the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed. this shall be shown to the driver in a way that is understandable and logical.
",4.3.6.4,0,0.550401894,0.29761904,0,
29448,29448,"if supervised by an rbc it shall be possible to command an emergency stop to all trains in a particular area or to a specific train
",4.6.4.1a,"it shall be possible to command an immediate train stop.
",4.6.4.1b,0,0.547913354,0.5,0,
3919,3919,"the current operational status shall be indicated to the driver on the dmi
",3.9.1.6,"operation of the train trip shall be indicated on the dmi.
",4.6.12.2,0,0.547577338,0.4642857,0,
3844,3844,"the current operational status shall be indicated to the driver on the dmi
",3.9.1.6,"the target distance to be displayed on the dmi shall be based on the most restrictive braking curve.
",4.2.2.2,0,0.54723713,0.24285714,0,
13571,13571,"isolation of the etcs trainborne equipment shall disconnect the etcs trainborne equipment from the vehicle braking system.
",4.1.6.6,"the etcs trainborne equipment shall be able to determine the location of the entire train.
",4.3.4.1,0,0.545882762,0.33333334,0,
3922,3922,"the current operational status shall be indicated to the driver on the dmi
",3.9.1.6,"after the acknowledgement the driver shall be able to continue the movement
",4.6.12.5a,0,0.545213278,0.30952382,0,
32845,32845,"on demand, the position of the front end of the train at the time of the demand shall be indicated on the dmi. this shall be possible while the train is moving or stationary.
",4.7.3.2,"the on board shall be capable of sending train data to the trackside after confirmation by the driver, or when entering the rbc area
",4.9.9.1,0,0.544758248,0.15384616,0,
32061,32061,"after the acknowledgement the driver shall be able to continue the movement
",4.6.12.5a,"the driver shall be able to use the reversing function without needing to re-confirm the train data.
",4.9.10.5,0,0.54350531,0.4,0,
3851,3851,"the current operational status shall be indicated to the driver on the dmi
",3.9.1.6,"the target distance shall not be shown on the dmi unless selected by the driver.
",4.2.3.6c,0,0.543132147,0.4017857,0,
5773,5773,"the driver shall be able to select train data entry on the dmi.
",4.1.2.2,the driver shall be able to consult train data when the train is stationary or moving.,4.1.2.9,0,0.542860277,0.5625,0,
13659,13659,"isolation of the etcs trainborne equipment shall disconnect the etcs trainborne equipment from the vehicle braking system.
",4.1.6.6,"if there are failures of the trainborne equipment which compromise the safety of train supervision, the etcs trainborne equipment shall immediately command the brake and bring the train to a stop.
",5.2.1.1,0,0.54215647,0.26666668,0,
9061,9061,"permission received shall be indicated to the driver.
",4.1.3.2d,"the emergency stop shall be indicated to the driver on the dmi.
",4.6.4.8,0,0.541911937,0.55,0,
22748,22748,"the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed. this shall be shown to the driver in a way that is understandable and logical.
",4.3.6.4,"the driver shall be able to confirm the train integrity to the rbc manually. the confirmation requires the train to be stationary.
",4.9.5.4,0,0.541508055,0.14646465,0,
3926,3926,"the current operational status shall be indicated to the driver on the dmi
",3.9.1.6,"on demand, the position of the front end of the train at the time of the demand shall be indicated on the dmi. this shall be possible while the train is moving or stationary.
",4.7.3.2,0,0.541135629,0.32967034,0,
24701,24701,"the roll away/reverse movement intervention shall be indicated on the dmi.
",4.3.9.1c,"the emergency stop shall be indicated to the driver on the dmi.
",4.6.4.8,0,0.540997013,0.4642857,0,
20495,20495,"the release speed shall be calculated on board, based on either:
",4.3.3.1,"the release speed shall be indicated on the dmi.
",4.3.3.2c,0,0.540733828,0.55,0,
11245,11245,"partial supervision shall be indicated on the dmi.
",4.1.4.3,"operation of the train trip shall be indicated on the dmi.
",4.6.12.2,0,0.539773523,0.55,0,
5896,5896,"the driver shall be able to select train data entry on the dmi.
",4.1.2.2,"the driver shall be able to override the function when the train is stationary.
",4.6.4.2,0,0.539651626,0.4722222,0,
1744,1744,"the driver shall acknowledge the level transitions, if requested from trackside. if the driver does not acknowledge after the transition the brake shall be applied. if the driver acknowledges afterwards, the brake can be released
",3.2.1.5,"after the acknowledgement the driver shall be able to continue the movement
",4.6.12.5a,0,0.539596158,0.23333333,0,
22730,22730,"the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed. this shall be shown to the driver in a way that is understandable and logical.
",4.3.6.4,"after the acknowledgement the driver shall be able to continue the movement
",4.6.12.5a,0,0.53787657,0.22222222,0,
20786,20786,"the release speed shall be indicated on the dmi.
",4.3.3.2c,"the occurrence of a failure shall be displayed on the dmi.
",5.2.1.2a,0,0.537601088,0.4,0,
20766,20766,"the release speed shall be indicated on the dmi.
",4.3.3.2c,"information shall be shown on the dmi
",4.8.10.2,0,0.537415854,0.45,0,
17996,17996,"the target distance shall not be shown on the dmi unless selected by the driver.
",4.2.3.6c,"information shall be shown on the dmi
",4.8.10.2,0,0.537006899,0.5625,0,
13769,13769,"the etcs trainborne equipment shall be capable of receiving information from the national train control systems by means of the stm.
",4.1.7.1,"the etcs trainborne equipment shall be able to determine the location of the entire train.
",4.3.4.1,0,0.5368344,0.47008547,0,
1509,1509,"the current application level shall be indicated on the dmi.
",3.2.1.3d,"the roll away/reverse movement intervention shall be indicated on the dmi.
",4.3.9.1c,0,0.536177092,0.4642857,0,
1721,1721,"the driver shall acknowledge the level transitions, if requested from trackside. if the driver does not acknowledge after the transition the brake shall be applied. if the driver acknowledges afterwards, the brake can be released
",3.2.1.5,"the driver shall enter the driver id
",4.4.2.5,0,0.533844355,0.2,0,
3850,3850,"the current operational status shall be indicated to the driver on the dmi
",3.9.1.6,"the train shall, as a minimum, be supervised to a ceiling speed; the supervised speed shall not be shown on the dmi unless selected by the driver.
",4.2.3.6b,0,0.532571022,0.3392857,0,
5775,5775,"the driver shall be able to select train data entry on the dmi.
",4.1.2.2,"stored train data shall be offered to the driver to be confirmed when data entry starts.
",4.1.2.11,0,0.532411495,0.5625,0,
23720,23720,"if the train or the shunting movement exceeds the permitted ceiling speed by a certain harmonised margin, the trainborne equipment shall execute a brake intervention until the actual speed does not exceed permitted speed; then the driver shall be able to release the brake
",4.3.7.3,"after the acknowledgement the driver shall be able to continue the movement
",4.6.12.5a,0,0.530624035,0.41666666,0,
21165,21165,"when the train is stationary or after a certain time (e.g. the time for ""route releasing"" of the overlap, the release speed calculation shall be based on the distance to the danger point (if calculated on-board). the condition for this change shall be defined for each target as infrastructure data.
",4.3.3.3,"the on board shall be capable of sending train data to the trackside after confirmation by the driver, or when entering the rbc area
",4.9.9.1,0,0.530248433,0.23076923,0,
16537,16537,"the target distance to be displayed on the dmi shall be based on the most restrictive braking curve.
",4.2.2.2,"the release speed shall be indicated on the dmi.
",4.3.3.2c,0,0.530241985,0.3,0,
5312,5312,"the test shall require no action on the part of the driver.
",4.1.1.4b,"on demand, the position of the front end of the train at the time of the demand shall be indicated on the dmi. this shall be possible while the train is moving or stationary.
",4.7.3.2,0,0.529222338,0,0,
22724,22724,"the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed. this shall be shown to the driver in a way that is understandable and logical.
",4.3.6.4,"the driver shall be able to override the function when the train is stationary.
",4.6.4.2,0,0.528956185,0.25,0,
18126,18126,"on request of the rbc, the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear
",4.2.3.6d,"on lines fitted with rbc, the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc.
",4.3.4.2,0,0.528485424,0.08012821,0,
